SPANISCH,DEUTSCH,#

volver, zurückkehren, 858
volvió ayer, er ist gestern zurückgekehrt, 858
la vuelta, die Rückkehr, 858

reisen, viajar, 849
die Reise, el viaje, 849
verreisen, ir de viaje, 849

drei,tres, 817
Juan hat drei Autos,Juan tiene tres coches, 817

der Nachmittag / der (beginnende) Abend,la tarde, 774
heute Nachmittag, esta tarde, 774
gestern Nachmittag, ayer por la tarde, 774
guten Tag / guten Abend, buenas tardes, 774

schon, ya, 860
er ist schon gekommen, ya ha venido, 860

die Ferien / der Urlaub, las vacaciones, 832
wir sind im Urlaub, estamos de vacaciones, 832

der Vorteil / der Nutzen, el provecho, 661
guten Appetit!, ¡buen provecho!, 661

sieben, siete, 743
meine Schwester ist sieben Jahre alt, mi hermana tiene siete años, 743

bedeuten, significar, 744
was bedeutet dieses Wort?, ¿qué significa esta palabra?, 744
die Bedeutung, la signification, 744
wie ist die Bedeutung dieses Wortes?, ¿cuál es el signification de esta palabra?, 744
